sl.num,Grid Number,City name,Road_length,Network Density ,CA,population
117,G117,Chandannagar,683.6913474,6.015930009,2589.13,166867
118,G118,Cuddalore,987.4803003,8.189533218,1295.15,173676
119,G119,Chirala,370.7376276,3.12736526,886.48,172826
120,G120,Deo,94.16195361,0.839761459,199.58,173216
121,G121,Bidar,743.6804226,6.341028935,698.2,172298
122,G122,Machilipatnam,700.6651316,5.921089522,792.76,169892
123,G123,Medinipur,462.8251848,4.059944855,975.82,169264
124,G124,Baramula,304.583544,2.979163501,569.94,167986
125,G125,Fatehpur,124.1049669,1.117774438,627.04,166480
126,G126,Tenali,733.767297,6.20252885,773.09,164937
127,G127,Udipi,916.7166845,7.648314233,1622.23,165401
128,G128,Sitalpur,65.8843012,0.602407902,201.228,164435
129,G129,Conjeeveram,1000.437922,8.33028863,1386.6,164384
130,G130,Proddatur,563.8160854,4.732048753,958.16,163970
131,G131,Navsari,175.9424185,1.526943714,194.75,163000
132,G132,Godhra,261.3346181,2.298056261,913.07,161925
133,G133,Budaun,238.2781967,2.186553235,707.84,161555
134,G134,Chittoor,415.5395167,3.46507518,952.56,160722
135,G135,Krishnanagar,351.725557,3.106951494,829.58,153062
136,G136,Bharuch,266.6257843,2.326958181,1419.37,158253
137,G137,Saharsa,190.6341889,1.716976546,1092.48,156540
138,G138,Haripur,192.4902592,1.827763293,442.7,158142
139,G139,Pathankot,541.1003692,5.179088927,1104.42,155909
140,G140,Vidisha,146.1931408,1.292575619,698.2,155959
141,G141,Nalgonda,961.051441,8.157199409,1077.42,154326
142,G142,Balurghat,337.8231128,3.026230712,403.15,153279
143,G143,Dibrugarh,403.731481,3.686661884,265.49,154019
144,G144,Veraval,157.4024242,1.36648199,773.85,153696
145,G145,Fyzabad,483.4974673,4.386826283,1669.21,153047
146,G146,Silchar,400.7090681,3.577404086,1363.01,152393
147,G147,Shantipur,205.7527086,1.815502869,700.69,151777
148,G148,Hindupur,262.8876668,2.197805542,714.47,151677
149,G149,Erode,1227.188183,10.1631309,3318.04,151184
150,G150,Beawar,315.9401845,2.85080685,1490.76,151472
151,G151,Mauli,1668.40986,15.71166892,2951.7,146213
152,G152,Habra,242.3620162,2.132027015,366.7,147221
153,G153,Ambala,943.8396525,8.857751756,1688.96,146787
154,G154,Etah,126.3509773,1.155280177,240.89,145601
155,G155,Shillong,408.1377429,3.666725906,1468.66,143229
156,G156,Kolar,839.6136384,6.999460192,683.18,144625
