Number,city_ascii,Pixel 0 ,,Pixel 10 (Tree Cover),,Pixel 20 (Shrubland),,Pixel 30 (Grassland),,Pixel 40 (Cropland),,Pixel 50 (Built-up),,Pixel 60 (Bare / sparse vegetation),,Pixel 70 (Snow and ice),,Pixel 80 (Permanent water bodies),,Pixel 90 (Herbaceous wetland),,Pixel 95 (Mangroves),,Pixel 100 (Moss and lichen),
,,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %
49,Aizawl,0,0,1058501,85.2179758636514,33,0.0026567695292687,54476,4.38576293564982,2603,0.209562760142016,97915,7.88295722601058,28582,2.30108444501695,0,0,0,0,0,0,0,0,0,0
50,Karimnagar,0,0,64097,5.16033201568299,6250,0.503176047209989,73246,5.89690124063086,628092,50.5665359750747,286546,23.0692933798134,42711,3.43858434438174,0,0,139921,11.264783312267,1247,0.100393684939337,0,0,0,0
51,Bhuj,1114,0.0896860986547085,12213,0.983246250332096,328232,26.4253568524527,30637,2.46652872933959,745851,60.0470972780189,37046,2.9825055751906,80448,6.47672106335188,0,0,6408,0.515896337683458,161,0.0129618149761293,0,0,0,0
52,Ichalkaranji,0,0,151020,12.1692575963178,34620,2.78969472907245,18972,1.52877205083659,640912,51.6449690409961,252718,20.3641268787329,134412,10.8309776985583,0,0,8342,0.672202005485916,0,0,0,0,0,0
53,Hospet,1114,0.0896860986547085,89418,7.19887932630766,329093,26.4946743847163,20719,1.668048723543,540804,43.5391390456562,115027,9.26061298918775,126559,10.1890331774159,0,0,19223,1.54760850488282,153,0.0123177496357005,0,0,0,0
54,Bhatinda,0,0,183793,14.7968376391785,32834,2.64340517345485,4313,0.34723172665867,458140,36.8840118830055,454627,36.6011866903897,97935,7.88456738936165,0,0,10363,0.834306140357939,105,0.0084533575931278,0,0,0,0
55,Sannai,0,0,181324,14.6111671592817,108915,8.7764182962717,281643,22.6949160190686,598502,48.2275527076639,20258,1.63239849282351,41465,3.34126782036364,0,0,8889,0.716279504527009,0,0,0,0,0,0
56,Barasat,0,0,654804,52.7643924718533,845,0.0680904692682329,17800,1.4343317786681,231022,18.6158537174979,219772,17.7093238012048,105171,8.47472514012938,0,0,6001,0.48356320245996,5581,0.449719418918353,0,0,0,0
57,Ratlam,0,0,46696,3.75940939208283,6686,0.538277608263358,19442,1.56523979357706,933973,75.1924547745369,174222,14.026293967523,53868,4.33681396977723,0,0,7223,0.581510494239641,0,0,0,0,0,0
58,Drug,0,0,113659,9.15869188941785,3636,0.292990468945911,36970,2.97905875603145,642573,51.7788131468595,297991,24.0122450032071,98788,7.96038021073396,0,0,47161,3.80025398953744,218,0.017566535266834,0,0,0,0
59,Handwara,0,0,442977,35.6952802426438,242,0.0195004657549258,310508,25.020870333184,336802,27.1396523437626,53435,4.30581565129944,95503,7.69567347517639,0,0,1529,0.12320748817885,0,0,0,0,0,0
60,Imphal,0,0,197007,15.8606725652317,1128,0.0908132130004589,61919,4.98498522675125,524068,42.1917543534792,411525,33.1311236524945,41695,3.35678804614728,0,0,3062,0.246516009049118,1706,0.137346933846439,0,0,0,0
61,Anantapur,0,0,75071,6.04925398631422,36102,2.90911493671212,12740,1.02659476742874,736220,59.3249293309567,280663,22.6159471908048,59595,4.80219114324301,0,0,7255,0.584611070462757,33350,2.6873575740776,0,0,0,0
62,Etawah,0,0,143942,11.5989092632047,3951,0.318373306602116,17233,1.38864267088693,626195,50.4590667496108,196564,15.83921301922,232584,18.7417203600979,0,0,20527,1.65407463037754,0,0,0,0,0,0
63,Raichur,0,0,35355,2.84892135027027,119942,9.66497877511289,26458,2.13199720224723,808712,65.1663663702381,160782,12.9558838223491,79817,6.43168874033438,0,0,9930,0.800163739447992,0,0,0,0,0,0
64,Bharatpur,0,0,116848,9.40721836230286,16255,1.30866026358374,14604,1.17574127895275,671816,54.0866750931882,299592,24.1196029337176,90247,7.26562059720959,0,0,5200,0.418642471278711,27548,2.21783899976653,0,0,0,0
65,Begusarai,1116,0.0897665346176275,253247,20.3701663013533,145,0.011663214623258,3766,0.302921836353033,753994,60.6482334251644,191885,15.4344547447164,36526,2.93800398158016,0,0,2533,0.20374429407388,13,0.0010456675179472,0,0,0,0
66,Sonipat,0,0,38440,3.09751199842707,3346,0.269622142214802,2506,0.201934575131588,831178,66.9766864679661,280317,22.5880663596015,84647,6.82089225106286,0,0,551,0.0443998207891081,11,0.000886384807042,0,0,0,0
67,Shrirampur,0,0,382283,30.8045311991336,1938,0.156164886913415,60370,4.86464098192097,170330,13.7252658348617,395844,31.8972825053425,104994,8.4604624027797,0,0,106066,8.5468446312478,19171,1.54480755780035,0,0,0,0
68,Hapur,0,0,34975,2.81830078420881,1009,0.0813056609368604,4181,0.336906807112996,926603,74.6660746690561,177788,14.3262347340362,96368,7.7653755531847,0,0,72,0.0058017914642754,0,0,0,0,0,0
69,Ramgundam,0,0,248970,20.0621114008426,38396,3.0939664591989,87550,7.05481725968496,488715,39.3808682703248,91650,7.38519705140065,170157,13.71132541926,0,0,115417,9.30035229767058,141,0.0113618416175394,0,0,0,0
70,Uluberiya,0,0,720669,58.0718229551103,447,0.0360194553407102,16503,1.32981895187414,246759,19.8839480546271,40109,3.23200074778646,93039,7.49712327839896,0,0,118092,9.51590496665582,5378,0.433361590206576,0,0,0,0
71,Puducherry,1114,0.0896860986547085,215476,17.3475779117792,32740,2.63583740570481,28361,2.2832921399876,64176,5.16669216091973,292198,23.5243255428263,27631,2.22452117767348,0,0,575331,46.3188445467793,5083,0.40922301567494,0,0,0,0
72,Porbandar,0,0,18568,1.49487565513521,32523,2.61836713334568,4494,0.361803704985871,361625,29.11376609157,165059,13.2885976282294,109231,8.7939876500471,0,0,515819,41.5276424793295,14867,1.19691492701935,19924,1.60404473033789,0,0
73,Vizianagaram,1114,0.0896860986547085,360722,29.0410672162691,5745,0.462519422595422,167584,13.4918807513022,419090,33.7401679400375,198134,15.9514052700646,77773,6.261361715146,0,0,11377,0.915941422257288,571,0.0459701636731046,0,0,0,0
74,Pali,1114,0.0896860986547085,26804,2.15794092310665,174108,14.0171160364219,6685,0.538197100095805,599996,48.3045784994888,260176,20.946293001425,143864,11.5822270169309,0,0,29363,2.36396132387631,0,0,0,0,0,0
75,Nadiad,0,0,247449,19.9216655529704,21288,1.713857870881,11951,0.962153110433054,689150,55.4822036695623,195612,15.7483636714945,74770,6.01959568798255,0,0,1890,0.152160436676301,0,0,0,0,0,0
76,Nagercoil,0,0,730912,58.8972083713404,13351,1.07582941443808,42215,3.40170314811651,228978,18.4511473042621,166202,13.3926297909099,31596,2.54601948757289,0,0,3511,0.282917914320433,24231,1.95254456903971,0,0,0,0
77,Karnal,0,0,66317,5.34385284078273,6303,0.507898494435115,3095,0.249396452526841,756334,60.9457242408517,328076,26.4365074504672,65407,5.27052464310924,0,0,15462,1.24593471695316,2,0.0001611608740076,0,0,0,0
78,Puri,0,0,219452,17.6835380613636,3676,0.296213686426064,109856,8.85224448749231,189842,15.2975513216803,135354,10.9068844702159,48313,3.89308265296584,0,0,533389,42.9807187130337,1114,0.0897666068222621,0,0,0,0
79,Tanjore,0,0,305197,24.5708512128555,71090,5.7233256313853,5249,0.422587371488838,606755,48.8487332039836,202144,16.2742430219546,38187,3.07436539436926,0,0,13381,1.0772797900347,107,0.008614373928235,0,0,0,0
80,Secunderabad,0,0,307792,24.8020138662816,32211,2.59557645633024,55075,4.43796756798572,42026,3.38647344552279,731292,58.9278289374019,26728,2.15375392023826,0,0,45470,3.66399247056397,402,0.032393335675538,0,0,0,0
81,Sambhal,0,0,38925,3.13378042202381,408,0.0328473323618681,1655,0.133241017301205,997941,80.3424012366055,126916,10.2177745932325,76133,6.1293283203581,0,0,122,0.0098219964415389,10,0.0008050816755359,0,0,0,0
82,Shiliguri,0,0,302701,24.3917788614951,4962,0.399840128412984,13266,1.06898007729276,381728,30.7598090565965,356062,28.6916315604563,149595,12.0544304735873,0,0,32677,2.63312693997402,5,0.0004029021850191,0,0,0,0
83,Naihati,0,0,476749,38.416642761137,1250,0.100725546254782,17898,1.44222866149448,230601,18.5819293535193,320154,25.7981492285229,104524,8.42258959738791,0,0,88685,7.14627605568431,1135,0.0914587959993424,0,0,0,0
84,Shimla,0,0,896364,72.2294028344975,2809,0.226350447543747,231584,18.661139923094,2361,0.190250411766033,59217,4.77173173805556,48661,3.92112464504318,0,0,0,0,0,0,0,0,0,0
85,Kharagpur,0,0,396852,31.9785075858423,12412,1.00016438409149,36703,2.95754377935142,566864,45.6781488417368,140154,11.2936705678342,85511,6.89051374863416,0,0,2492,0.200806449013534,8,0.0006446434960306,0,0,0,0
86,Dindigul,0,0,125702,10.1200376778224,37635,3.02992488587967,201588,16.2294804807948,487781,39.2703544774617,288309,23.2112292792104,99853,8.03898205472945,0,0,1162,0.0935504906972812,80,0.0064406534042878,0,0,0,0
87,Ingraj Bazar,0,0,414997,33.4406396152768,2704,0.217889501658345,15633,1.25971397168081,425430,34.2813353145377,177924,14.3371936734687,70295,5.66440181918395,0,0,25634,2.06559892215607,108379,8.73322718203765,0,0,0,0
88,Ongole,0,0,112606,9.06570271554049,33248,2.67673555482204,8840,0.711692201173809,818534,65.898672420317,168154,13.5377704068078,79091,6.36747147998164,0,0,19613,1.57900669022872,2024,0.162948531128483,0,0,0,0
89,Ellore,0,0,189885,15.287293395915,4873,0.392316300488685,30197,2.43110513561601,785237,63.2179919652849,173682,13.9828195570441,35182,2.8324383508707,0,0,21836,1.75797634670037,1218,0.0980589480802827,0,0,0,0
90,Haldia,0,0,188849,15.2175349477355,3467,0.279372375092265,23361,1.88243958884638,383228,30.8806797121022,104435,8.41541793849456,159465,12.8497593868151,0,0,376532,30.3411131059246,1659,0.133682944989347,0,0,0,0
91,Gurgaon,0,0,64373,5.18255226992778,7426,0.597853652253021,8829,0.71080661133072,232811,18.7431869963208,780906,62.8693110916103,145723,11.731891700413,0,0,1974,0.158923122750803,68,0.0054745553936446,0,0,0,0
92,Bulandshahr,0,0,130112,10.4844818194418,531,0.0427882120490315,2714,0.218695306028384,819485,66.0344594180803,159020,12.8139010923484,128155,10.3267859042253,0,0,979,0.0788882478267456,0,0,0,0,0,0
93,Baharampur,0,0,391012,31.50791783374,2273,0.183159333309696,6594,0.531347401603228,573673,46.2268210372959,125357,10.1013218414886,92759,7.47456075603789,0,0,46410,3.73973808134756,2918,0.235133715177164,0,0,0,0
94,Chakradharpur,0,0,180132,14.5020972377648,2139,0.172206970397147,105586,8.50053537931423,851991,68.5922341821578,38687,3.11461947814606,61635,4.96212090716603,0,0,1855,0.149342650811925,85,0.0068431942420558,0,0,0,0
95,Madhyamgram,0,0,572662,46.1039682475787,1491,0.120037677822415,31139,2.5069438294515,175535,14.1320011915209,335522,27.0122613939184,116648,9.39111672879214,0,0,5848,0.470811763853443,3265,0.262859167062498,0,0,0,0
96,Burhanpur,0,0,154389,12.4295754804325,44618,3.59211341990645,37782,3.04175958651005,795762,64.0653404287865,99143,7.9818212557664,77488,6.23841688739323,0,0,32928,2.65097294120489,0,0,0,0,0,0
97,Khammam,1115,0.0896860986547085,193351,15.5523738663556,29050,2.33666472279756,53731,4.32190472360192,626429,50.3874198153995,235394,18.9341430553601,70658,5.68344426793219,0,0,33250,2.67449576705745,247,0.0198676828409982,0,0,0,0
98,Bhiwani,0,0,22189,1.78639572984679,21688,1.74606113790244,3363,0.270748967482751,769616,61.9603738799301,255553,20.5741037428247,161939,13.0374121454622,0,0,7255,0.584086755601356,507,0.0408176409496743,0,0,0,0
99,Ghandinagar,0,0,245609,19.7912805520727,76302,6.14844850426593,11665,0.93997079764963,559253,45.0648511357007,272893,21.9898371952851,54285,4.37430902275269,0,0,20989,1.6913027922733,0,0,0,0,0,0
100,Hugli,0,0,582434,46.9327862458864,429,0.0345690074746413,12093,0.974459224687267,123386,9.94249780015407,342355,27.5871155104448,92185,7.4283075851977,0,0,87387,7.04168264845334,727,0.0585819777017814,0,0,0,0
101,Mahbubnagar,0,0,25335,2.03967442497041,261710,21.0697925304522,120558,9.7059036639267,612434,49.3059390875204,164629,13.2539791161813,54835,4.41466536780156,0,0,2595,0.208918694801588,14,0.0011271143457503,0,0,0,0
102,Nandyal,1114,0.0896860986547085,45096,3.63059632399707,3381,0.272198114498716,29920,2.40880437320366,1004204,80.8466238899936,81703,6.57775881363164,58529,4.71206253874456,0,0,17162,1.38168117155485,1001,0.0805886757211519,0,0,0,0
103,Raiganj,0,0,339964,27.3698786741915,2349,0.189113685583402,69969,5.63307597555772,577840,46.5208395391713,110429,8.89043643477631,113392,9.12898213523762,0,0,1142,0.0919403273462092,27025,2.17573322813599,0,0,0,0
104,Barakpur,0,0,455052,36.6354026616,1391,0.111986861067055,19157,1.54229496582428,106810,8.59907737639984,426770,34.3584706668492,100326,8.07706241798231,0,0,106489,8.57323425461513,26115,2.10247079566222,0,0,0,0
105,Mahesana,0,0,87312,7.03563911567805,34270,2.76149157612112,2815,0.22683393016577,828118,66.7301103307344,226435,18.2462312529613,61639,4.96689755647883,0,0,407,0.0327962378605571,0,0,0,0,0,0
106,Batala,1,8.05081675535983E-05,43758,3.52287639581036,3243,0.261087987376319,1555,0.125190200545845,972037,78.2569176642971,175422,14.1229037685873,46028,3.70562993615702,0,0,0,0,66,0.0053135390585374,0,0,0,0
107,Bhusaval,0,0,92595,7.45465377462544,15945,1.28370273164213,85547,6.88723220970768,724132,58.2985403869223,132306,10.6517136163464,118602,9.54842968819187,0,0,72983,5.87572759256427,0,0,0,0,0,0
108,Bahraigh,0,0,108181,8.7172722555109,448,0.036100035777714,6580,0.530219275485175,891825,71.8636482309371,152893,12.320184754826,79035,6.36867483859739,0,0,759,0.0611605516859039,1275,0.102740057179878,0,0,0,0
109,Tonk,0,0,48318,3.89348555515086,35800,2.88477964473697,114694,9.24209264171681,791867,63.8089889089086,147669,11.899232551918,65830,5.30461016796186,0,0,36818,2.96681052960686,0,0,0,0,0,0
110,Sirsa,0,0,11810,0.951654961015185,4403,0.354795664127846,1267,0.102095413683847,965932,77.8352226759796,180296,14.5283304700418,76099,6.13209067555415,0,0,1189,0.095810139597549,0,0,0,0,0,0
111,Jaunpur,0,0,100593,8.10582789952587,261,0.0210314940579985,4872,0.39258788908264,840914,67.7612176026353,180164,14.5176938523573,95103,7.66344130037486,0,0,19089,1.53819996196603,0,0,0,0,0,0
112,Dam Dam,0,0,276417,22.2738026552866,728,0.0586625581387853,42642,3.43611099471715,65902,5.31041195942614,747445,60.2294447363247,82733,6.66666129463753,0,0,24119,1.94351956009528,1010,0.0813862413738642,0,0,0,0
113,Madanapalle,0,0,45302,3.65045495714732,300880,24.2450418857112,56751,4.57302038040413,625868,50.4327169467105,117156,9.44048167762023,92164,7.42661539602062,0,0,2665,0.214746864615196,210,0.0169218917708034,0,0,0,0
114,Alleppey,0,0,376776,30.3607747325535,399,0.0321515943645265,13557,1.09242898446087,305772,24.6392413835339,78316,6.31073750439163,18325,1.47663650809511,0,0,234597,18.9039287797866,213254,17.1841005128139,0,0,0,0
115,Vellore,2,0.000160871925838,369852,29.7494017575258,295231,23.7471897685455,11039,0.887932594663074,231253,18.6010577329124,238486,19.1828510527057,81852,6.58384443684771,0,0,14918,1.19994369482596,592,0.0476180900480604,0,0,0,0
116,Titagarh,0,0,448927,36.1747338428166,1839,0.148187423650036,16324,1.31539505365046,107118,8.63161525097583,445006,35.8587779493246,98898,7.96924405880438,0,0,102959,8.29648121347692,19925,1.60556520730123,0,0,0,0
